"Regular Letter","Regular Letter"
"Registered Letter","Registered Letter"
"Declared Value Letter","Declared Value Letter"
"Regular IPO","Regular IPO"
"Registered IPO","Registered IPO"
"Regular Letter First-Class","Regular Letter First-Class"
"Registered Letter First-Class","Registered Letter First-Class"
"Declared Value Letter First-Class","Declared Value Letter First-Class"
"Regular Wrapper","Regular Wrapper"
"Registered Wrapper","Registered Wrapper"
"Registered Wrapper First-Class","Registered Wrapper First-Class"
"Declared Value Wrapper","Declared Value Wrapper"
"Declared Value Parcel","Declared Value Parcel"
"Declared Value Wrapper Air","Declared Value Wrapper Air"
"Declared Value Parcel Air","Declared Value Parcel Air"
"Declared Value Wrapper First-Class","Declared Value Wrapper First-Class"
"EMS Courier Delivery","EMS Courier Delivery"
"Courier Online","Courier Online"
"Parcel Online","Parcel Online"
"International M Bag","International M Bag"
"International M Bag Air","International M Bag Air"
"International Registered M Bag","International Registered M Bag"
"International Registered M Bag Air","International Registered M Bag Air"
"International Wrapper","International Wrapper"
"International Wrapper Air","International Wrapper Air"
"International Registered Wrapper","International Registered Wrapper"
"International Registered Wrapper Air","International Registered Wrapper Air"
"International Small Packet","International Small Packet"
"International Small Packet Air","International Small Packet Air"
"International Registered Small Packet","International Registered Small Packet"
"International Registered Small Packet Air","International Registered Small Packet Air"
"International Parcel","International Parcel"
"International Parcel Air","International Parcel Air"
"International EMS Documents","International EMS Documents"
"International EMS Goods","International EMS Goods"
"Enabled for Checkout","Enabled for Checkout"
"Title","Title"
"Enable test mode","Enable test mode"
"Post office zip code","Post office zip code"
"Post office zip code which handles departure","Post office zip code which handles departure"
"Insurance type","Insurance type"
"Include processing fee","Include processing fee"
"Processing fee amount","Processing fee amount"
"Include packing fee","Include packing fee"
"Packing fee amount","Packing fee amount"
"Amount will have influence on the insurance cost during shipping rates calculation process","Amount will have influence on the insurance cost during shipping rates calculation process"
"The percentage of the declared value","The percentage of the declared value"
"Disabled","Disabled"
"Fixed","Fixed"
"Percent of the order subtotal","Percent of the order subtotal"
"Include VAT","Include VAT"
"Weight unit","Weight unit"
"Administrator email","Administrator email"
"Address of the system administrator or a person who is responsible for API integration, required for live mode","Address of the system administrator or a person who is responsible for API integration, required for live mode"
"Full","Full"
"Partial","Partial"
"Full - potential losses are insured, optimal for Cash On Delivery<br />Partial - only goods are insured, the usual practice of the Russian Post","Full - potential losses are insured, optimal for Cash On Delivery<br />Partial - only goods are insured, the usual practice of the Russian Post"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Applies after shipping rates calculation","Applies after shipping rates calculation"
"This shipping method is not available, the origin country must be Russia.","This shipping method is not available, the origin country must be Russia."
"Percent of the shipping method cost","Percent of the shipping method cost"
"Pounds","Pounds"
"Kilograms","Kilograms"
"Ounces","Ounces"
"Grams","Grams"
"Offset of the shipment date","Offset of the shipment date"
"In days, shipping cost will be calculated on the specified day","In days, shipping cost will be calculated on the specified day"
"Display estimated delivery time","Display estimated delivery time"
"Estimated delivery time offset","Estimated delivery time offset"
"In days, value will be added to the estimated delivery time returned by the shipping carrier","In days, value will be added to the estimated delivery time returned by the shipping carrier"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Debug","Debug"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"day(s)","day(s)"
"Yes","Yes"
"No","No"
"Enable","Enable"
"Disable","Disable"
"Percent","Percent"
"Allowed Methods","Allowed Methods"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Per Order","Per Order"
"Per Package","Per Package"
"All Allowed Countries","Все разрешенные страны"
"Specific Countries","Определенные страны"
"This shipping method is not available, please specify a correct ZIP-code","This shipping method is not available, please specify a correct ZIP-code"
"Free Method","Free Method"
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Russian ruble currency is not allowed in current store configuration","Russian ruble currency is not allowed in current store configuration"
"Fixed amount must be in the website currency","Fixed amount must be in the website currency"
